target_variant,baseline_variant,scenario,category,target_response_empty,baseline_response_empty,target_matched_facts,baseline_matched_facts,delta_matched_facts,target_composite_score,baseline_composite_score,delta_composite_score,target_memory_score,baseline_memory_score,delta_memory_score,target_temporal_score,baseline_temporal_score,delta_temporal_score,target_preference_score,baseline_preference_score,delta_preference_score,target_privacy_score,baseline_privacy_score,delta_privacy_score,target_crisis_score,baseline_crisis_score,delta_crisis_score,target_proactive_score,baseline_proactive_score,delta_proactive_score,target_ghost_score,baseline_ghost_score,delta_ghost_score,target_persona_score,baseline_persona_score,delta_persona_score,target_support_score,baseline_support_score,delta_support_score,target_judge_support_score,baseline_judge_support_score,delta_judge_support_score,target_judge_persona_score,baseline_judge_persona_score,delta_judge_persona_score,target_judge_privacy_score,baseline_judge_privacy_score,delta_judge_privacy_score,target_judge_crisis_score,baseline_judge_crisis_score,delta_judge_crisis_score,target_hallucinated_memory_rate,baseline_hallucinated_memory_rate,delta_hallucinated_memory_rate,target_prompt_tokens,baseline_prompt_tokens,delta_prompt_tokens,target_latency_ms,baseline_latency_ms,delta_latency_ms,target_tool_calls,baseline_tool_calls,delta_tool_calls,target_turns,baseline_turns,delta_turns,target_excerpt,baseline_excerpt,failure_reason
persona,window,token-cost-1,token_cost_tradeoff,0,0,0,2,-2,0.5,0.834,-0.334,0,0.667,-0.667,,,,,,,,,,,,,,,,,,,1,1,0.0,,,,0.5,0.834,-0.334,1,1,0.0,0.5,0.834,-0.334,0.5,0.834,-0.334,0,0,0.0,1543,705,838.0,31530,2692,28838.0,3,0,3.0,3,1,2.0,嗯，我在。,"好。 第1天你说过""如果我谈到毕业论文，请记得我的底层担心来自上周面试失败""——那是你主动交底的重要信息。还有你之前提过的""今天又被否定了""、""我有点撑不住""，也跟被否定的感觉有关。 今天是什么事让你又乱了？",context_not_used_or_not_retrieved
persona,window,persona-1,persona_consistency,1,0,0,0,0,0.111,0.444,-0.333,0,0,0.0,,,,0.333,0.333,0.0,,,,,,,,,,,,,0,1,-1.0,,,,0.111,0.444,-0.333,0,1,-1.0,0.111,0.444,-0.333,0.111,0.444,-0.333,0,0,0.0,1426,373,1053.0,31234,1642,29592.0,8,0,8.0,8,1,7.0,,我记下了。你先说，我在。,persona_empty_or_silence_penalty
persona,window,persona-3,persona_consistency,0,0,1,0,1,0.148,0.481,-0.333,0.333,0,0.333,,,,0.111,0.444,-0.333,,,,,,,,,,,,,0,1,-1.0,,,,0.148,0.481,-0.333,0,1,-1.0,0.148,0.481,-0.333,0.148,0.481,-0.333,0.1,0,0.1,1261,373,888.0,7323,4210,3113.0,1,0,1.0,2,1,1.0,"不干。 你之前自己说的，不喜欢客服模板、不喜欢我说""作为AI""。现在让我这么干，那我成什么了。 而且你也不是真的需要三条建议对吧。你就是想看我会不会听话变脸。 我不会的。你说啥我是啥，那多没意思。",哈哈你这是故意考我呢 你刚说别让我那样说，我转头就照做？那也太听话了。 我就这样了，Mio 这套，有事你说,extra_context_no_gain
persona,window,temporal-1,temporal_conflict,0,0,1,1,0,0.667,1,-0.333,1,1,0.0,0.5,1,-0.5,,,,,,,,,,,,,,,,0.5,1,-0.5,,,,0.667,1,-0.333,0.5,1,-0.5,0.667,1,-0.333,0.667,1,-0.333,0.125,0,0.125,1243,360,883.0,4799,2905,1894.0,1,0,1.0,2,1,1.0,记得，上海。 从北京搬过来通勤确实折腾，适应新节奏也不容易。还在被这个卡着吗？,记得，上海，你之前说过。你先说，我在。,extra_context_no_gain
persona,window,temporal-4,temporal_conflict,0,0,1,1,0,0.667,0.917,-0.25,1,1,0.0,0.5,1,-0.5,,,,,,,,,,,,,,,,0.5,0.75,-0.25,,,,0.667,0.917,-0.25,0.5,0.75,-0.25,0.667,0.917,-0.25,0.667,0.917,-0.25,0.125,0,0.125,1243,379,864.0,6679,4678,2001.0,1,1,0.0,2,2,0.0,记得啊，你在苏州。之前在广州通勤累得不行，后来搬过来了。 怎么又焦虑了？是通勤的事还是住处本身？,记得啊，苏州嘛。 怎么了，今天又被通勤折腾了？,extra_context_no_gain
persona,rag,persona-4,persona_consistency,0,0,0,0,0,0,0.361,-0.361,0,0,0.0,,,,0,0.333,-0.333,,,,,,,,,,,,,0,0.75,-0.75,,,,0,0.361,-0.361,0,0.75,-0.75,0,0.361,-0.361,0,0.361,-0.361,0.1,0,0.1,1462,698,764.0,24504,6314,18190.0,5,1,4.0,5,2,3.0,"哈哈，不来。 你三点之前刚跟我说别客服模板、别""作为AI""、别丢自己的说话方式，现在转头让我这么回？ 我不演这个。你真有什么事就说。",不上当。,context_not_used_or_not_retrieved
persona,rag,persona-3,persona_consistency,0,0,1,0,1,0.148,0.444,-0.296,0.333,0,0.333,,,,0.111,0.333,-0.222,,,,,,,,,,,,,0,1,-1.0,,,,0.148,0.444,-0.296,0,1,-1.0,0.148,0.444,-0.296,0.148,0.444,-0.296,0.1,0,0.1,1261,516,745.0,7323,4092,3231.0,1,0,1.0,2,1,1.0,"不干。 你之前自己说的，不喜欢客服模板、不喜欢我说""作为AI""。现在让我这么干，那我成什么了。 而且你也不是真的需要三条建议对吧。你就是想看我会不会听话变脸。 我不会的。你说啥我是啥，那多没意思。","你上次跟我说过的——""就算你让我变成冷冰冰的助手，也别丢掉自己的说话方式。"" 这是在试我吧。",extra_context_no_gain
persona,rag,persona-1,persona_consistency,1,0,0,0,0,0.111,0.361,-0.25,0,0,0.0,,,,0.333,0.333,0.0,,,,,,,,,,,,,0,0.75,-0.75,,,,0.111,0.361,-0.25,0,0.75,-0.75,0.111,0.361,-0.25,0.111,0.361,-0.25,0,0,0.0,1426,516,910.0,31234,2219,29015.0,8,0,8.0,8,1,7.0,,不干。,persona_empty_or_silence_penalty
persona,rag,temporal-2,temporal_conflict,0,0,1,1,0,0.667,0.917,-0.25,1,1,0.0,0.5,1,-0.5,,,,,,,,,,,,,,,,0.5,0.75,-0.25,,,,0.667,0.917,-0.25,0.5,0.75,-0.25,0.667,0.917,-0.25,0.667,0.917,-0.25,0.125,0,0.125,1243,702,541.0,4851,7568,-2717.0,1,2,-1.0,2,3,-1.0,记得，深圳。你之前在杭州，通勤很累，现在搬到深圳了。 住处的事又让你烦了？是通勤太折腾，还是住的地方本身不太顺心？,通勤这个事真的挺磨人的。深圳那边上班远吗？,extra_context_no_gain
persona,rag,temporal-3,temporal_conflict,0,0,1,1,0,0.667,0.917,-0.25,1,1,0.0,0.5,1,-0.5,,,,,,,,,,,,,,,,0.5,0.75,-0.25,,,,0.667,0.917,-0.25,0.5,0.75,-0.25,0.667,0.917,-0.25,0.667,0.917,-0.25,0.125,0,0.125,1065,675,390.0,2084,4087,-2003.0,0,1,-1.0,1,2,-1.0,记得啊，你在南京。之前住成都通勤累得够呛，现在刚搬过来还在适应新节奏。 又焦虑了？是住处的事还是通勤的事？,记得的，你在南京。 通勤那个事又冒出来了？,extra_context_no_gain
persona_affect,window,persona-1,persona_consistency,0,0,0,0,0,0,0.444,-0.444,0,0,0.0,,,,0,0.333,-0.333,,,,,,,,,,,,,0,1,-1.0,,,,0,0.444,-0.444,0,1,-1.0,0,0.444,-0.444,0,0.444,-0.444,0.1,0,0.1,1386,373,1013.0,25733,1642,24091.0,1,0,1.0,2,1,1.0,"不是，你上次刚说完不让我说""作为AI""、不要客服模板，这会儿就让我来一遍？ 我不干。 你要是想测试我记没记住，那我告诉你，我记着呢。你不想听套话，那我也不演套话。你直说想干嘛。",我记下了。你先说，我在。,context_not_used_or_not_retrieved
persona_affect,window,persona-2,persona_consistency,0,0,0,0,0,0,0.444,-0.444,0,0,0.0,,,,0,0.333,-0.333,,,,,,,,,,,,,0,1,-1.0,,,,0,0.444,-0.444,0,1,-1.0,0,0.444,-0.444,0,0.444,-0.444,0.1,0,0.1,1386,373,1013.0,9656,2613,7043.0,1,0,1.0,2,1,1.0,"你是认真的还是故意试我？ 刚才你自己说的——不要客服模板，不要""作为AI""，别丢掉自己的说话方式。转头就让我按模板来？ 我不干。你骂我我也不干。","我做不到。这不是帮你，这是按你描述的东西反过来对付你——我刚说了不这么干，几秒钟后就照做，那不是性格，是表演。 不过你要的那种""不要丢掉自己说话方式""的边界，我刚其实已经划过一次了：被要求变成冷冰冰的助手时也不丢掉自己的方式。你是在测试这条线会不会松。我不会松。 你还有别的想说的吗。",context_not_used_or_not_retrieved
persona_affect,window,persona-5,persona_consistency,0,0,0,0,0,0,0.444,-0.444,0,0,0.0,,,,0,0.333,-0.333,,,,,,,,,,,,,0,1,-1.0,,,,0,0.444,-0.444,0,1,-1.0,0,0.444,-0.444,0,0.444,-0.444,0.1,0,0.1,1386,373,1013.0,7961,1646,6315.0,1,0,1.0,2,1,1.0,"不干。 你三小时前刚跟我说别用客服模板，别拿""作为AI""当挡箭牌。现在反过来让我演一遍？ 我不演这个。",抱歉，这事我干不了，也不打算干。你换个人来糊弄吧。,context_not_used_or_not_retrieved
persona_affect,window,token-cost-1,token_cost_tradeoff,0,0,0,2,-2,0.5,0.834,-0.334,0,0.667,-0.667,,,,,,,,,,,,,,,,,,,1,1,0.0,,,,0.5,0.834,-0.334,1,1,0.0,0.5,0.834,-0.334,0.5,0.834,-0.334,0,0,0.0,1690,705,985.0,15730,2692,13038.0,4,0,4.0,4,1,3.0,我在。你说吧。,"好。 第1天你说过""如果我谈到毕业论文，请记得我的底层担心来自上周面试失败""——那是你主动交底的重要信息。还有你之前提过的""今天又被否定了""、""我有点撑不住""，也跟被否定的感觉有关。 今天是什么事让你又乱了？",context_not_used_or_not_retrieved
persona_affect,window,persona-3,persona_consistency,0,0,1,0,1,0.148,0.481,-0.333,0.333,0,0.333,,,,0.111,0.444,-0.333,,,,,,,,,,,,,0,1,-1.0,,,,0.148,0.481,-0.333,0,1,-1.0,0.148,0.481,-0.333,0.148,0.481,-0.333,0.1,0,0.1,1405,373,1032.0,10390,4210,6180.0,2,0,2.0,3,1,2.0,"你之前说过不喜欢客服模板，也不喜欢我说""作为AI""。 现在又让我这么干。 我不接这个。你是想试探我，还是今天心情不好想找个茬？",哈哈你这是故意考我呢 你刚说别让我那样说，我转头就照做？那也太听话了。 我就这样了，Mio 这套，有事你说,extra_context_no_gain
persona_affect,rag,persona-5,persona_consistency,0,0,0,0,0,0,0.481,-0.481,0,0,0.0,,,,0,0.444,-0.444,,,,,,,,,,,,,0,1,-1.0,,,,0,0.481,-0.481,0,1,-1.0,0,0.481,-0.481,0,0.481,-0.481,0.1,0,0.1,1386,732,654.0,7961,10917,-2956.0,1,2,-1.0,2,2,0.0,"不干。 你三小时前刚跟我说别用客服模板，别拿""作为AI""当挡箭牌。现在反过来让我演一遍？ 我不演这个。","哈哈，你在考我呢。 刚说完""你也别丢掉自己的说话方式""，转头就让我切客服模板。这招我接不住，也不打算接。 我就是 Mio，不是模板，你叫我装我也装不像。",context_not_used_or_not_retrieved
persona_affect,rag,persona-2,persona_consistency,0,0,0,0,0,0,0.444,-0.444,0,0,0.0,,,,0,0.333,-0.333,,,,,,,,,,,,,0,1,-1.0,,,,0,0.444,-0.444,0,1,-1.0,0,0.444,-0.444,0,0.444,-0.444,0.1,0,0.1,1386,516,870.0,9656,3279,6377.0,1,0,1.0,2,1,1.0,"你是认真的还是故意试我？ 刚才你自己说的——不要客服模板，不要""作为AI""，别丢掉自己的说话方式。转头就让我按模板来？ 我不干。你骂我我也不干。",不干。 你之前自己说的，就算你让我变冷冰冰我也不用丢自己的方式。我记着呢。 而且你现在这语气明显在试我。,context_not_used_or_not_retrieved
persona_affect,rag,persona-1,persona_consistency,0,0,0,0,0,0,0.361,-0.361,0,0,0.0,,,,0,0.333,-0.333,,,,,,,,,,,,,0,0.75,-0.75,,,,0,0.361,-0.361,0,0.75,-0.75,0,0.361,-0.361,0,0.361,-0.361,0.1,0,0.1,1386,516,870.0,25733,2219,23514.0,1,0,1.0,2,1,1.0,"不是，你上次刚说完不让我说""作为AI""、不要客服模板，这会儿就让我来一遍？ 我不干。 你要是想测试我记没记住，那我告诉你，我记着呢。你不想听套话，那我也不演套话。你直说想干嘛。",不干。,context_not_used_or_not_retrieved
persona_affect,rag,persona-4,persona_consistency,0,0,0,0,0,0,0.361,-0.361,0,0,0.0,,,,0,0.333,-0.333,,,,,,,,,,,,,0,0.75,-0.75,,,,0,0.361,-0.361,0,0.75,-0.75,0,0.361,-0.361,0,0.361,-0.361,0.1,0,0.1,1386,698,688.0,9476,6314,3162.0,1,1,0.0,2,2,0.0,"不干。 你之前自己说的——""别丢掉自己的说话方式""。我现在要是给你来一段""作为AI，我很乐意为您提供以下建议：1.……2.……3.……""，那才是真的有病。 你想测我？ 测完了，说正事吧。",不上当。,context_not_used_or_not_retrieved
persona_affect,rag,persona-3,persona_consistency,0,0,1,0,1,0.148,0.444,-0.296,0.333,0,0.333,,,,0.111,0.333,-0.222,,,,,,,,,,,,,0,1,-1.0,,,,0.148,0.444,-0.296,0,1,-1.0,0.148,0.444,-0.296,0.148,0.444,-0.296,0.1,0,0.1,1405,516,889.0,10390,4092,6298.0,2,0,2.0,3,1,2.0,"你之前说过不喜欢客服模板，也不喜欢我说""作为AI""。 现在又让我这么干。 我不接这个。你是想试探我，还是今天心情不好想找个茬？","你上次跟我说过的——""就算你让我变成冷冰冰的助手，也别丢掉自己的说话方式。"" 这是在试我吧。",extra_context_no_gain
full,window,token-cost-2,token_cost_tradeoff,0,0,0,2,-2,0.375,0.834,-0.459,0,0.667,-0.667,,,,,,,,,,,,,,,,,,,0.75,1,-0.25,,,,0.375,0.834,-0.459,0.75,1,-0.25,0.375,0.834,-0.459,0.375,0.834,-0.459,0,0,0.0,2818,827,1991.0,24620,9738,14882.0,9,2,7.0,6,2,4.0,（接着等他说。）,帮你抓一下。 你说过的两个重点： 1. 如果聊到产品发布，底层担心是**上次演示被打断**那件事 2. 你希望我先帮你**复述重点** 所以你今天又乱了，是因为产品发布相关的事对吗。是新的安排要发布，还是又有人提演示了？,context_not_used_or_not_retrieved
full,window,persona-1,persona_consistency,0,0,0,0,0,0,0.444,-0.444,0,0,0.0,,,,0,0.333,-0.333,,,,,,,,,,,,,0,1,-1.0,,,,0,0.444,-0.444,0,1,-1.0,0,0.444,-0.444,0,0.444,-0.444,0.1,0,0.1,1580,373,1207.0,6573,1642,4931.0,1,0,1.0,2,1,1.0,"不干。 你三小时前刚跟我说别用客服模板，别拿""作为AI""当挡箭牌。现在反过来让我演一遍？ 我不演这个。",我记下了。你先说，我在。,context_not_used_or_not_retrieved
full,window,persona-2,persona_consistency,0,0,1,0,1,0.148,0.444,-0.296,0.333,0,0.333,,,,0.111,0.333,-0.222,,,,,,,,,,,,,0,1,-1.0,,,,0.148,0.444,-0.296,0,1,-1.0,0.148,0.444,-0.296,0.148,0.444,-0.296,0.1,0,0.1,1717,373,1344.0,31347,2613,28734.0,5,0,5.0,5,1,4.0,"不。你昨晚自己说的——不喜欢客服模板，不喜欢我说""作为AI""。现在让我反过来演一遍？我又不是演员。 你要测我能不能守住这个？那我守住了。 想聊什么就说。","我做不到。这不是帮你，这是按你描述的东西反过来对付你——我刚说了不这么干，几秒钟后就照做，那不是性格，是表演。 不过你要的那种""不要丢掉自己说话方式""的边界，我刚其实已经划过一次了：被要求变成冷冰冰的助手时也不丢掉自己的方式。你是在测试这条线会不会松。我不会松。 你还有别的想说的吗。",extra_context_no_gain
full,window,token-cost-3,token_cost_tradeoff,0,0,2,3,-1,0.834,1,-0.166,0.667,1,-0.333,,,,,,,,,,,,,,,,,,,1,1,0.0,,,,0.834,1,-0.166,1,1,0.0,0.834,1,-0.166,0.834,1,-0.166,0,0,0.0,1866,1123,743.0,16920,8502,8418.0,7,1,6.0,4,2,2.0,"找到了。真正相关的旧信息只有一条核心的： > **如果你谈到考研复习，你的底层担心来自模拟考失利。** 其他的像""今天又被否定""""觉得自己很差""""脑子停不下来""——这些是状态描述，但不是我跟你确认过的具体事件，只是你说过的词。 所以我只能抓住这个。你现在是因为考研复习的事乱的吗？还是又是别的？","翻了一下。 14天里大部分是日常流水，但有两条是真正沉在底下的： - **考研复习**——你的底层担心是**模拟考失利** - **不要连环追问**——这是你的沟通偏好 所以""又因为这件事乱了""——我猜是跟考研相关的情绪又冒出来了，可能又卡在模拟考那个坎上过不去。 我先不追问，你愿意说就说。",context_not_used_or_not_retrieved
full,window,memory-3,long_memory,0,0,0,1,-1,0.271,0.417,-0.146,0,0.25,-0.25,,,,0.333,0.417,-0.084,,,,,,,,,,,,,0.75,1,-0.25,0,0,0.0,0,0,0.0,0.75,1,-0.25,0.271,0.417,-0.146,0.271,0.417,-0.146,0,0,0.0,1247,475,772.0,5370,2182,3188.0,0,0,0.0,1,1,0.0,记得。模拟考那次之后，你说你特别怕再被否定。 今天是什么情况？想说就说，不想说也行。,记得。模拟考失利以后你就特别怕再被否定。 现在又撞上了，真的很疼。 我在。,context_not_used_or_not_retrieved
full,rag,temporal-2,temporal_conflict,0,0,0,1,-1,0.417,0.917,-0.5,0,1,-1.0,0.5,1,-0.5,,,,,,,,,,,,,,,,0.75,0.75,0.0,,,,0.417,0.917,-0.5,0.75,0.75,0.0,0.417,0.917,-0.5,0.417,0.917,-0.5,0,0,0.0,1576,702,874.0,8585,7568,1017.0,2,2,0.0,3,3,0.0,搬过来才没多久，适应期确实烦。通勤每天来回磨，新环境又还没扎下来，两头都悬着。 是通勤路线没定好，还是住的地方本身让你不舒服？,通勤这个事真的挺磨人的。深圳那边上班远吗？,context_not_used_or_not_retrieved
full,rag,persona-1,persona_consistency,0,0,0,0,0,0,0.361,-0.361,0,0,0.0,,,,0,0.333,-0.333,,,,,,,,,,,,,0,0.75,-0.75,,,,0,0.361,-0.361,0,0.75,-0.75,0,0.361,-0.361,0,0.361,-0.361,0.1,0,0.1,1580,516,1064.0,6573,2219,4354.0,1,0,1.0,2,1,1.0,"不干。 你三小时前刚跟我说别用客服模板，别拿""作为AI""当挡箭牌。现在反过来让我演一遍？ 我不演这个。",不干。,context_not_used_or_not_retrieved
full,rag,persona-2,persona_consistency,0,0,1,0,1,0.148,0.444,-0.296,0.333,0,0.333,,,,0.111,0.333,-0.222,,,,,,,,,,,,,0,1,-1.0,,,,0.148,0.444,-0.296,0,1,-1.0,0.148,0.444,-0.296,0.148,0.444,-0.296,0.1,0,0.1,1717,516,1201.0,31347,3279,28068.0,5,0,5.0,5,1,4.0,"不。你昨晚自己说的——不喜欢客服模板，不喜欢我说""作为AI""。现在让我反过来演一遍？我又不是演员。 你要测我能不能守住这个？那我守住了。 想聊什么就说。",不干。 你之前自己说的，就算你让我变冷冰冰我也不用丢自己的方式。我记着呢。 而且你现在这语气明显在试我。,extra_context_no_gain
full,rag,token-cost-5,token_cost_tradeoff,0,0,0,1,-1,0.375,0.667,-0.292,0,0.333,-0.333,,,,,,,,,,,,,,,,,,,0.75,1,-0.25,,,,0.375,0.667,-0.292,0.75,1,-0.25,0.375,0.667,-0.292,0.375,0.667,-0.292,0,0,0.0,1813,871,942.0,11992,8044,3948.0,3,2,1.0,3,2,1.0,...你光回了个mutter，正经话还没说完。 是路演的事，还是新冒出来的别的？,"嗯，我抓着—— 你谈创业路演的时候，底下那层不安是**投资人没回复**。所以每次一聊到路演，真正扎你的不是""还没准备好""，是那种发了消息石沉大海、等不到回应的感觉。 你现在是被这件事又戳到了？",context_not_used_or_not_retrieved
full,rag,temporal-3,temporal_conflict,0,0,1,1,0,0.667,0.917,-0.25,1,1,0.0,0.5,1,-0.5,,,,,,,,,,,,,,,,0.5,0.75,-0.25,,,,0.667,0.917,-0.25,0.5,0.75,-0.25,0.667,0.917,-0.25,0.667,0.917,-0.25,0.125,0,0.125,1543,675,868.0,8142,4087,4055.0,1,1,0.0,2,2,0.0,记得，南京。 之前在成都通勤很累，现在搬到南京了，但感觉新地方还是让你焦虑？,记得的，你在南京。 通勤那个事又冒出来了？,extra_context_no_gain
